feature,mean_abs_shap
ntl_max_d1_Lag2,0.0016632094
et_d3_Lag2,0.0016460397
sm_std_wanom_Lag3,0.0016400336
ntl_mean_Lag2,0.0016167167
ntl_std_d1_wanom_Lag4,0.0016004574
precip_total_d1_wmean,0.0015723191
ntl_mean_wanom_Lag2,0.0015638907
ntl_max_wanom_Lag2,0.0015635855
defo_rate_1500m_d1_wmean,0.001513726
hot_days_Lag4,0.0015066583
defo_rate_500m_d3_wanom_Lag2,0.0014981661
et_wtrend,0.0014922108
defo_rate_1500m_d1_Lag1,0.0014921944
ntl_mean_Lag1,0.00148412
temperature_2m_wanom_Lag2,0.0014786863
et_d1_wanom_Lag1,0.0014752905
et_d3_Lag1,0.0014621703
ntl_mean_wanom_Lag3,0.0014409382
precip_max_d1_wanom_Lag3,0.0013910902
sm_std_d1_wanom_Lag3,0.0013860171
ntl_max_d3_Lag2,0.0013538476
ntl_std_d3_wanom_Lag1,0.0013496152
ntl_std_Lag2,0.0013417817
ntl_cv_d3_Lag1,0.0013011683
precip_max_d1_wmean,0.0012497018
ntl_cv_d1_Lag3,0.001234999
defo_rate_5000m_d1_wtrend,0.0011861464
ntl_max_Lag3,0.0011816444
ntl_max_d1_wanom_Lag3,0.0011801091
dry_days_d1_Lag3,0.0011046374
defo_rate_5000m_d1_Lag4,0.0010967765
ntl_max_wanom_Lag3,0.0010852193
defo_rate_1500m_wanom_Lag2,0.001081409
sm_std_d1_Lag4,0.0010745574
hot_days_wanom_Lag4,0.0010618615
defo_rate_5000m_wanom_Lag4,0.0010600921
defo_rate_150m_d1_wanom_Lag2,0.0010594267
et_wanom_Lag4,0.0010585252
defo_rate_150m_wanom_Lag2,0.0010563931
ntl_mean_d1_Lag2,0.0010533062
defo_rate_500m_wanom_Lag1,0.0010360859
ntl_std_d1_Lag3,0.0010334421
temperature_2m_max_d3_wanom_Lag2,0.0010115261
ntl_cv_wmean,0.0010098909
temperature_2m_d3_wanom_Lag2,0.0009972445
hot_days_d3_wanom_Lag2,0.0009778877
ntl_cv_d1_wanom_Lag1,0.00096100685
ntl_max_Lag2,0.0009588611
temperature_2m_max_d1_wanom_Lag3,0.0009498397
ntl_mean_d3_Lag1,0.00091721164
precip_total_d1_wanom_Lag3,0.00091469625
ntl_mean_d1_Lag3,0.0008859211
ntl_std_Lag4,0.00087098905
extreme_rain_days_wmean,0.0008603381
temperature_2m_wanom_Lag4,0.0008545208
defo_rate_5000m_wanom_Lag3,0.0008374716
defo_rate_5000m_wtrend,0.00083614944
defo_rate_150m_d1_wmean,0.00083342823
temperature_2m_d1_wanom_Lag3,0.0008273731
sm_surface_Lag3,0.0008214255
defo_rate_150m_d1_wanom_Lag3,0.00081939896
hot_days_d1_wmean,0.0008058475
ntl_cv_wtrend,0.00080169685
defo_rate_5000m_d1_Lag2,0.0007969632
ntl_max_wmean,0.00079152454
dry_days_d1_Lag4,0.00078902475
ntl_cv_d1_Lag2,0.0007677368
ntl_cv_d1_wanom_Lag3,0.0007631801
ntl_mean_d1_wanom_Lag2,0.00075548707
sm_std_d1_wmean,0.0007522459
ntl_mean_d1_wmean,0.00074599724
ntl_max_d1_wmean,0.0007224049
defo_rate_5000m_wanom_Lag1,0.0007177661
temperature_2m_max_wtrend,0.00069248414
ntl_cv_Lag4,0.0006875247
dry_days_d1_wanom_Lag3,0.00066031737
ntl_std_wanom_Lag4,0.0006526995
temperature_2m_d1_Lag4,0.0006513864
defo_rate_1500m_d3_wmean,0.00064993295
defo_rate_1500m_d1_Lag4,0.0006470955
sm_std_Lag1,0.0006315088
defo_rate_1500m_wtrend,0.00062607543
defo_rate_5000m_d3_wanom_Lag2,0.0006255099
sm_surface_Lag2,0.00062550895
hot_days_d1_wanom_Lag2,0.00061948807
defo_rate_150m_d1_Lag1,0.0006163245
ntl_cv_wanom_Lag3,0.00060467713
ntl_std_wtrend,0.00059676456
hot_days_d1_Lag4,0.0005954888
temperature_2m_wanom_Lag3,0.00057949463
precip_mean_wtrend,0.0005788802
sm_std_d3_Lag1,0.0005781174
temperature_2m_max_d3_Lag1,0.00057422445
sm_std_wanom_Lag2,0.0005563645
et_d1_Lag2,0.000548098
defo_rate_5000m_d1_Lag3,0.0005473141
sm_std_d1_wanom_Lag1,0.0005450836
sm_surface_d1_wanom_Lag4,0.0005440176
temperature_2m_d1_wanom_Lag1,0.000499288
defo_rate_150m_wtrend,0.0004962686
cum_deforested_d1_Lag1,0.00048272844
ntl_cv_d1_wmean,0.00048182806
defo_rate_500m_d1_Lag4,0.00047952757
defo_rate_150m_d3_Lag1,0.00047856316
iucn_strict,0.00047137475
ntl_cv_d1_wanom_Lag4,0.000456273
precip_total_d1_Lag3,0.00043902762
defo_rate_500m_wanom_Lag3,0.0004177319
defo_rate_500m_wanom_Lag2,0.00039729843
ntl_std_d1_wanom_Lag3,0.0003937632
defo_rate_500m_d1_wmean,0.00038479947
temperature_2m_max_Lag3,0.00037311498
temperature_2m_d3_wanom_Lag1,0.0003396451
temperature_2m_d1_wanom_Lag4,0.000336427
precip_max_Lag3,0.00032499697
defo_rate_150m_Lag3,0.0003220745
et_wanom_Lag3,0.00031953998
precip_max_wtrend,0.00031873526
ntl_mean_Lag4,0.0003165565
ntl_std_wanom_Lag1,0.00029024933
temperature_2m_max_wanom_Lag1,0.00027695243
precip_mean_Lag4,0.0002677624
ntl_cv_d1_wtrend,0.00025647777
sm_surface_d3_wmean,0.00025630777
et_d1_wanom_Lag4,0.0002545891
temperature_2m_d3_Lag2,0.00024515804
ntl_cv_d1_Lag1,0.00022632952
precip_total_Lag3,0.00020445616
hot_days_d1_Lag1,0.00018306627
defo_rate_150m_d1_wanom_Lag4,0.00017764728
defo_rate_5000m_d3_Lag2,0.00017526805
ntl_cv_d1_wanom_Lag2,0.00017249794
defo_rate_1500m_d1_wanom_Lag3,0.00016162601
ntl_cv_Lag3,0.00015511553
defo_rate_150m_d1_Lag4,0.00015351512
ntl_max_wtrend,0.00015270611
temperature_2m_d3_Lag1,0.00015109342
sm_std_d3_wanom_Lag1,0.00014842484
temperature_2m_max_d1_Lag1,0.0001347975
defo_rate_5000m_d3_Lag1,0.00013291009
defo_rate_1500m_d1_Lag2,0.00013171743
sm_std_Lag4,0.00013131382
ntl_std_d1_wanom_Lag1,0.00011862804
ntl_mean_d1_wanom_Lag4,0.00010387445
temperature_2m_d1_wtrend,0.00010213297
ntl_mean_wtrend,9.941707e-05
